,closeness,betweenness
R_L__W,0.13533834586466165,0.015873015873015872
U_exp,0.08571428571428572,0.0
R_J__Q,0.13504464285714285,0.013227513227513227
R_I__P,0.16005291005291003,0.05555555555555555
R_A_B__G_H,0.2400793650793651,0.11507936507936507
F_import,0.0,0.0
R_C_D__J,0.19642857142857142,0.07142857142857142
R_H__K,0.20578231292517007,0.031084656084656083
B_import,0.15433673469387754,0.0
W_exp,0.11834733893557423,0.0
R_K__O,0.1658986175115207,0.013227513227513227
V_exp,0.16320072332730562,0.0
R_S_T__V_X,0.19285714285714287,0.047619047619047616
R_P_Q__S,0.15126050420168066,0.047619047619047616
N_exp,0.09920634920634921,0.0
R_C_H__I,0.2542016806722689,0.1574074074074074
R_O_P__R,0.16765873015873017,0.017195767195767195
R_N__T,0.07142857142857142,0.015873015873015872
A_import,0.15433673469387754,0.0
R_N__U,0.09920634920634921,0.006613756613756613
X_exp,0.16320072332730562,0.0
D_import,0.13504464285714285,0.0
G_import,0.16005291005291003,0.0
R_E__M,0.03571428571428571,0.010582010582010581
R_F_M__N,0.08035714285714285,0.027777777777777776
R_G_K__L,0.1662087912087912,0.03902116402116402
C_import,0.1800595238095238,0.0
R_exp,0.14,0.0
E_import,0.03571428571428571,0.0
