,closeness,betweenness
R_P_Q__S,0.35,0.5132275132275133
R_A_B__G_H,0.27722772277227725,0.19444444444444442
V_exp,0.24561403508771928,0.0
R_C_D__J,0.2857142857142857,0.1111111111111111
R_I__P,0.32941176470588235,0.19576719576719573
R_exp,0.24561403508771928,0.0
R_O_P__R,0.3218390804597701,0.24074074074074073
D_import,0.224,0.0
R_K__O,0.2978723404255319,0.1693121693121693
G_import,0.22950819672131148,0.0
R_N__U,0.23333333333333334,0.07142857142857142
R_C_H__I,0.3181818181818182,0.27513227513227506
E_import,0.16470588235294117,0.0
W_exp,0.1794871794871795,0.0
R_L__W,0.21705426356589147,0.07142857142857142
R_J__Q,0.29473684210526313,0.08465608465608465
C_import,0.25,0.0
R_H__K,0.27722772277227725,0.04100529100529101
N_exp,0.23140495867768596,0.0
X_exp,0.24561403508771928,0.0
R_S_T__V_X,0.3218390804597701,0.5211640211640212
F_import,0.19310344827586207,0.0
U_exp,0.19047619047619047,0.0
R_G_K__L,0.2692307692307692,0.17195767195767195
R_E__M,0.1958041958041958,0.07142857142857142
A_import,0.21875,0.0
R_N__T,0.28,0.38888888888888884
B_import,0.21875,0.0
R_F_M__N,0.23728813559322035,0.2037037037037037
