,Radius: 0,Radius: 1,Radius: 2,Radius: 3
A_E_ex,0.0,0.0,0.0,0.2857142857142857
B_E_ex,0.0,0.0,0.0,0.2857142857142857
C_E_ex,0.0,0.0,0.0,0.125
D_E_ex,0.0,0.0,0.0,0.0
E_E_ex,0.0,0.0,0.0,0.3333333333333333
F_E_ex,0.0,0.0,0.5,0.3333333333333333
G_E_ex,0.0,0.0,0.3333333333333333,0.3
N_E_ex,0.0,0.0,0.5,0.2857142857142857
R_E_ex,0.0,0.0,0.0,0.2
U_E_ex,0.0,0.0,0.3333333333333333,0.3333333333333333
V_E_ex,0.0,0.0,0.0,0.16666666666666666
W_E_ex,0.0,0.0,0.0,0.2
X_E_ex,0.0,0.0,0.0,0.16666666666666666
A_import,0.0,0.0,0.2857142857142857,0.25
B_import,0.0,0.0,0.2857142857142857,0.25
C_import,0.0,0.0,0.125,0.21428571428571427
D_import,0.0,0.0,0.0,0.1111111111111111
E_import,0.0,0.0,0.3333333333333333,0.3333333333333333
F_import,0.0,0.5,0.3333333333333333,0.25
G_import,0.0,0.3333333333333333,0.3,0.21428571428571427
N_exp,0.0,0.5,0.2857142857142857,0.18181818181818182
R_exp,0.0,0.0,0.2,0.25
U_exp,0.0,0.3333333333333333,0.3333333333333333,0.2
V_exp,0.0,0.0,0.16666666666666666,0.15384615384615385
W_exp,0.0,0.0,0.2,0.2727272727272727
X_exp,0.0,0.0,0.16666666666666666,0.15384615384615385
R_A_B__G_H,0.0,0.2857142857142857,0.25,0.1875
R_C_H__I,0.0,0.14285714285714285,0.21428571428571427,0.17647058823529413
R_C_D__J,0.0,0.0,0.1111111111111111,0.2
R_I__P,0.0,0.0,0.14285714285714285,0.16666666666666666
R_J__Q,0.0,0.0,0.0,0.07142857142857142
R_E__M,0.0,0.3333333333333333,0.3333333333333333,0.25
R_F_M__N,0.5,0.3333333333333333,0.25,0.15384615384615385
R_N__T,0.5,0.3333333333333333,0.18181818181818182,0.13333333333333333
R_N__U,0.5,0.3333333333333333,0.2,0.14285714285714285
R_H__K,0.5,0.375,0.23076923076923078,0.17647058823529413
R_G_K__L,0.5,0.375,0.25,0.17647058823529413
R_K__O,1.0,0.42857142857142855,0.23076923076923078,0.1875
R_L__W,0.0,0.2,0.2727272727272727,0.16666666666666666
R_O_P__R,0.0,0.2,0.25,0.17647058823529413
R_P_Q__S,0.0,0.0,0.07692307692307693,0.15
R_S_T__V_X,0.0,0.16666666666666666,0.15384615384615385,0.1
biomass,0.0,0.2,0.15384615384615385,0.16666666666666666
