,closeness,betweenness
J_C,0.3194444444444444,0.0737812911725955
N_C,0.27058823529411763,0.31225296442687744
L_C,0.25842696629213485,0.08695652173913043
A_C,0.26136363636363635,0.0
I_C,0.359375,0.1831357048748353
T_C,0.323943661971831,0.3557312252964427
X_C,0.3026315789473684,0.0
O_C,0.3382352941176471,0.1745718050065876
U_C,0.21495327102803738,0.0
W_C,0.2072072072072072,0.0
K_C,0.3194444444444444,0.17391304347826084
G_C,0.27710843373493976,0.04611330698287219
B_C,0.26136363636363635,0.0
C_C,0.3108108108108108,0.07707509881422923
S_C,0.3770491803278688,0.4743083003952569
E_C,0.18253968253968253,0.0
M_C,0.22115384615384615,0.08695652173913043
Q_C,0.3484848484848485,0.10606060606060605
R_C,0.30666666666666664,0.0
F_C,0.21904761904761905,0.0
V_C,0.3026315789473684,0.0
P_C,0.39655172413793105,0.4387351778656126
D_C,0.27058823529411763,0.0
H_C,0.32857142857142857,0.2206851119894598
